Movie Title
Cinderella Swings It
The Perfect Man
Out of the Depths
St. Elmo's Fire
Burn After Reading
Chameleon Street
Gus
Code Name: The Cleaner
Me and the Kid
Loyal Lives
The Bamboo Blonde
Benji the Hunted
Return of the Lash
Man of Conquest
The Reckless Sex
Storm Over the Andes
One Minute to Zero
Open Secret
Who Was That Lady?
God's Country and the Woman
The Storm Daughter
Affairs of Geraldine
The Sword and the Sorcerer
Officer Thirteen
Meet the Wildcat
Wild
Idiots Deluxe
Jazzmania
Monster Family
Carefree
Shockproof
All Woman
Testosterone
Don't Tell Mom the Babysitter's Dead
Hansel & Gretel
The Forty-Niners
Canyon Crossroads
Silent Night
Clockers
The Gay Falcon
Imaginary Crimes
Daughter of Don Q
Distant Thunder
Laddie
The Heart Raider
Nothing but the Truth
Empire State
Terror by Night
Youth Must Have Love
From Nurse to Worse
Public Access
Our Little Girl
Dracula Reborn
Wings of Youth
The Outrage
The Son of Thomas Gray
The Pretty One
Janie Jones
I Want You
Beautiful Stranger
The Return of Peter Grimm
Devil's Squadron
The Lusty Men
Suicide Kings
Dysfunctional Friends
24 Hours
Slide
Fruitvale Station
The Birdcage
The House of Fear
PT 109
The Private Lives of Adam and Eve
Bad Asses on the Bayou
Nocturne
Let's Be Ritzy
Captain Hurricane
Code of the Cactus
The Carnival Girl
House of Horrors
Cowardice Court
The Heart of Youth
The Front Runner
The Sailor Takes a Wife
Legion of Terror
The Matrimonial Bed
Not a Drum Was Heard
Benji
Hard Country
The Swellhead
Way Back Home
Guinevere
The Sacred Flame
The Hidden Way
Hold the Press
Dead Reckoning
China Doll
18 Again!
The Villain Still Pursued Her
The Last Sunset
The Sentinel
Just Cause
Tom's Photo Finish
Son of the Mask
The Village Blacksmith
Beside Still Waters
Rawhide Mail
The Wiser Sex
S.F.W.
Defending Your Life
Silk Stockings
In the Money
Backdraft
The Vanishing American
Burning Words
Lightning Strikes Twice
Frequency
Woman and the Hunter
The Petty Girl
Dark City
Man or Gun
Slippy McGee
The Frankenstein Theory
Thunderbolt
Armed and Dangerous
Danger on the Air
None but the Brave
Dawn at Socorro
American Beauty
Small Town Gay Bar
Black Hand
Bread
Gun Law Justice
A Good Little Devil
The Baited Trap
Careful
Shattered Dreams
Hard Rain
Soapdish
Young Ideas
Something for Everyone
Skyjacked
A Daughter of the Gods
National Lampoon Presents Dorm Daze
Divorce Among Friends
East Is West
Henry Aldrich Plays Cupid
Miss Annie Rooney
Silent Hill
