Movie Title,Genre,Runtime (min),Box Office ($),Metacritic Rating,IMDb Rating,Release Year
The Heart of Youth,"Comedy, Drama",50 min,N/A,N/A,N/A,1919
The Front Runner,"Biography, Drama, History",113 min,"$2,000,105",61,6.1,2018
The Sailor Takes a Wife,"Comedy, Romance",92 min,N/A,N/A,6.0,1945
Legion of Terror,"Action, Adventure, Crime",63 min,N/A,N/A,5.9,1936
The Matrimonial Bed,Comedy,69 min,N/A,N/A,5.7,1930
Not a Drum Was Heard,"Crime, Western",50 min,N/A,N/A,5.6,1924
Benji,"Crime, Drama, Family",87 min,N/A,53,6.3,2018
Hard Country,Drama,104 min,"$534,653",N/A,5.6,1981
The Swellhead,"Drama, Romance, Sport",70 min,N/A,N/A,5.0,1930
Way Back Home,Drama,131 min,N/A,N/A,7.5,2013
Guinevere,"Drama, Romance",104 min,"$632,283",68,5.9,1999
The Sacred Flame,Drama,110 min,N/A,N/A,N/A,1951
The Hidden Way,"Crime, Drama",70 min,N/A,N/A,5.9,1926
Hold the Press,Mystery,65 min,N/A,N/A,6.2,1933
Mission: Impossible - Dead Reckoning Part One,"Action, Adventure, Thriller",163 min,"$172,135,383",81,7.7,2023
China Doll,"Drama, Romance, War",99 min,N/A,N/A,6.0,1958
18 Again!,"Comedy, Fantasy, Romance",93 min,"$2,567,099",N/A,5.7,1988
The Villain Still Pursued Her,Comedy,66 min,N/A,N/A,5.5,1940
The Last Sunset,"Drama, Romance, Western",112 min,N/A,N/A,6.7,1961
The Sentinel,"Action, Crime, Thriller",108 min,"$36,280,697",49,6.1,2006
Just Cause,"Action, Crime, Drama",102 min,"$36,853,222",48,6.4,1995
Tom's Photo Finish,"Animation, Short, Comedy",6 min,N/A,N/A,7.3,1957
Son of the Mask,"Comedy, Family, Fantasy",94 min,"$17,018,422",20,2.3,2005
The Village Blacksmith,"Drama, Romance",80 min,N/A,N/A,5.3,1922
Beside Still Waters,"Comedy, Drama, Romance",76 min,N/A,42,6.2,2013
Rawhide Mail,Western,59 min,N/A,N/A,4.4,1934
The Wiser Sex,"Comedy, Drama",76 min,N/A,N/A,7.1,1932
S.F.W.,"Comedy, Drama",96 min,"$63,513",N/A,5.7,1994
Defending Your Life,"Comedy, Drama, Fantasy",112 min,"$16,371,128",63,7.2,1991
Silk Stockings,"Comedy, Musical, Romance",117 min,N/A,N/A,6.8,1957
We're in the Money,"Adventure, Comedy, Music",66 min,N/A,N/A,6.3,1935
Backdraft,"Action, Drama, Mystery",137 min,"$77,868,585",38,6.7,1991
The Vanishing American,"Drama, Western",110 min,"$286,809",N/A,6.9,1925
Burning Words,"Action, Adventure, Drama",50 min,N/A,N/A,6.0,1923
Lightning Strikes Twice,"Crime, Drama, Film-Noir",91 min,N/A,N/A,6.5,1951
Frequency,"Crime, Drama, Mystery",118 min,"$45,010,278",67,7.4,2000
Woman and the Hunter,"Adventure, Drama, Romance",78 min,N/A,N/A,5.7,1957
The Petty Girl,"Biography, Comedy, Musical",88 min,N/A,N/A,6.0,1950
Dark City,"Fantasy, Mystery, Sci-Fi",100 min,"$14,378,331",66,7.6,1998
Man or Gun,Western,79 min,N/A,N/A,5.8,1958
Slippy McGee,"Crime, Drama",65 min,N/A,N/A,6.4,1947
The Frankenstein Theory,"Horror, Sci-Fi",87 min,N/A,N/A,4.3,2013
Thunderbolt and Lightfoot,"Action, Comedy, Crime",115 min,"$21,700,000",62,7.0,1974
Armed and Dangerous,"Action, Comedy, Crime",88 min,"$15,945,534",17,5.7,1986
Danger on the Air,"Adventure, Crime, Drama",70 min,N/A,N/A,6.3,1938
None But the Brave,"Adventure, Drama, War",106 min,N/A,N/A,6.4,1965
Dawn at Socorro,"Romance, Western",80 min,N/A,N/A,6.4,1954
American Beauty,Drama,122 min,"$130,096,601",84,8.3,1999
Small Town Gay Bar,Documentary,76 min,N/A,N/A,7.1,2006
Black Hand,"Crime, Film-Noir, Thriller",92 min,N/A,N/A,6.4,1950
Bread and Tulips,"Comedy, Romance",114 min,"$5,318,679",68,7.3,2000
Gun Law Justice,Western,55 min,N/A,N/A,5.5,1949
A Good Little Devil,Drama,50 min,N/A,N/A,5.7,1914
The Baited Trap,Western,N/A,N/A,N/A,N/A,1926
Careful What You Wish For,"Drama, Thriller",91 min,N/A,32,5.6,2015
Shattered Dreams,"Crime, Drama",94 min,N/A,N/A,5.6,1990
Hard Rain,"Action, Crime, Drama",97 min,"$19,870,567",36,5.9,1998
Soapdish,"Comedy, Romance",97 min,"$36,489,888",65,6.6,1991
Young Ideas,Comedy,77 min,N/A,N/A,5.6,1943
Something for Everyone,"Comedy, Crime, Drama",112 min,"$297,492",N/A,7.0,1970
Skyjacked,"Action, Drama, Thriller",101 min,N/A,N/A,5.7,1972
A Daughter of the Gods,Drama,180 min,N/A,N/A,6.9,1916
Divorce Among Friends,Comedy,65 min,N/A,N/A,5.1,1930
East Is West,"Adventure, Crime, Drama",75 min,N/A,N/A,6.1,1930
