Movie Title,Genre,Runtime (min),Box Office ($),Metacritic Rating,IMDb Rating,Release Year
Bolshevism on Trial,Drama,70 min,N/A,N/A,5.3,1919
For All Mankind,"Drama, Sci-Fi",60 min,N/A,N/A,8.1,2019–
Kill Bill: Vol. 1,"Action, Crime, Thriller",111 min,"$70,099,045",69,8.2,2003
The Other Woman's Story,Drama,60 min,N/A,N/A,6.0,1925
The Lights of New York,N/A,N/A,N/A,N/A,N/A,1922
The Gilded Highway,Drama,74 min,N/A,N/A,N/A,1926
Moon Over Montana,Western,56 min,N/A,N/A,6.0,1946
The Brand New Testament,"Comedy, Fantasy",114 min,"$127,910",70,7.1,2015
For the Love of Mike,"Drama, Romance",75 min,N/A,N/A,4.9,1927
The Brass Teapot,"Comedy, Fantasy, Thriller",101 min,"$6,997",43,6.3,2012
Paper Soldiers,"Action, Comedy, Crime",88 min,N/A,N/A,5.4,2002
"Honey, I Shrunk the Kids","Adventure, Comedy, Family",93 min,"$130,724,172",63,6.4,1989
The Flame of Life,Drama,70 min,N/A,N/A,N/A,1923
The Girl from Monterrey,"Romance, Sport",58 min,N/A,N/A,4.9,1943
Nijinsky,"Biography, Drama, Music",129 min,"$1,047,454",N/A,6.5,1980
Flashing Spurs,Western,N/A,N/A,N/A,N/A,1924
Zeus and Roxanne,"Adventure, Comedy, Family",98 min,"$7,233,324",N/A,5.3,1997
Dunked in the Deep,"Comedy, Short",17 min,N/A,N/A,7.1,1949
Some Kind of Hero,"Crime, Drama, War",97 min,"$23,671,186",68,5.8,1982
Death Takes a Holiday,"Drama, Fantasy, Romance",79 min,N/A,53,6.9,1934
This Could Be the Night,Comedy,104 min,N/A,N/A,6.7,1957
7th Cavalry,Western,75 min,N/A,N/A,5.8,1956
Hurricane Season,"Drama, Sport",102 min,N/A,N/A,6.5,2009
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,"Family, Drama, Comedy",105 min,"$113,606",N/A,6.2,1973
O.J.: Made in America,"Documentary, Biography, Crime",467 min,N/A,N/A,8.9,2016
Appointment in Berlin,"Drama, War",77 min,N/A,N/A,6.3,1943
The Evil Below,"Adventure, Horror, Mystery",92 min,N/A,N/A,3.3,1989
City Streets,"Crime, Drama, Film-Noir",83 min,N/A,N/A,7.0,1931
Steal This Movie,"Biography, Drama, Romance",107 min,"$76,424",36,6.4,2000
A Thief in Paradise,Drama,80 min,N/A,N/A,5.9,1925
Pierrot the Fool,"Crime, Drama, Romance",110 min,"$87,011",N/A,7.4,1965
China Seas,"Action, Adventure, Drama",87 min,N/A,N/A,6.9,1935
Shady Lady,"Documentary, Drama, History",90 min,N/A,N/A,7.5,2012
Dan Pena - The $50 Billion Dollar Man,Documentary,71 min,N/A,N/A,N/A,2018
The Love Gamble,Drama,60 min,N/A,N/A,5.6,1925
"Dance Party, USA",Drama,65 min,N/A,54,6.1,2006
Desire Under the Elms,"Drama, Romance",111 min,N/A,N/A,6.5,1958
Bad Girl,"Drama, Romance",90 min,N/A,N/A,6.4,1931
"Good Morning, Vietnam","Biography, Comedy, Drama",121 min,"$123,922,370",67,7.3,1987
"OSS 117: Cairo, Nest of Spies","Action, Adventure, Comedy",99 min,"$303,543",62,7.0,2006
Pirates of the Caribbean: Dead Men Tell No Tales,"Action, Adventure, Fantasy",129 min,"$172,558,876",39,6.5,2017
Chasing Papi,"Comedy, Romance",80 min,"$6,130,049",33,4.8,2003
Paint Your Wagon,"Comedy, Drama, Musical",164 min,"$14,500,000",50,6.6,1969
Be Cool,"Comedy, Crime, Music",118 min,"$56,046,979",37,5.6,2005
BlacKkKlansman,"Biography, Comedy, Crime",135 min,"$49,275,340",83,7.5,2018
Raiders of San Joaquin,Western,59 min,N/A,N/A,6.0,1943
Lucky Them,"Comedy, Drama",97 min,"$48,995",65,6.1,2013
Sweethearts of the U.S.A.,"Comedy, Crime, Music",63 min,N/A,N/A,5.1,1944
Westward Ho,"Drama, Western",61 min,N/A,N/A,5.7,1935
Bright,"Action, Fantasy, Thriller",117 min,N/A,29,6.3,2017
Hop Harrigan America's Ace of the Airways,"Action, Adventure, Drama",N/A,N/A,N/A,5.9,1946
The Cabin in the Cotton,Drama,78 min,N/A,N/A,6.6,1932
Happy Feet,"Animation, Adventure, Comedy",108 min,"$198,000,317",77,6.4,2006
Enoch Arden: Part I,"Short, Drama",17 min,N/A,N/A,6.3,1911
The Valiant Hombre,Western,60 min,N/A,N/A,5.9,1948
Old Man Rhythm,"Comedy, Music, Romance",75 min,N/A,N/A,5.6,1935
The Great Air Robbery,"Sci-Fi, Adventure",60 min,N/A,N/A,4.6,1919
The Chinese Ring,Mystery,68 min,N/A,N/A,5.8,1947
Manos: The Hands of Fate,Horror,70 min,N/A,N/A,1.6,1966
Six Gun Man,Western,59 min,N/A,N/A,6.2,1946
Predators,"Action, Adventure, Sci-Fi",107 min,"$52,000,688",51,6.4,2010
Barbershop 2: Back in Business,"Comedy, Drama",106 min,"$65,111,277",59,5.7,2004
Daddy's Little Girls,"Drama, Romance",100 min,"$31,366,978",49,5.8,2007
The Barber of Seville,"Animation, Short, Comedy",7 min,N/A,N/A,6.3,1944
Waitress,"Comedy, Drama, Romance",108 min,"$19,074,800",75,7.0,2007
Animaniacs: Wakko's Wish,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Musical",80 min,N/A,N/A,7.2,1999
I'll Tell the World,"Adventure, Comedy, Romance",77 min,N/A,N/A,6.1,1934
Under My Skin,Drama,97 min,N/A,N/A,6.2,2020
Highways by Night,"Adventure, Comedy, Crime",65 min,N/A,N/A,6.5,1942
The Chase,"Action, Adventure, Comedy",94 min,"$7,924,955",N/A,5.8,1994
Almost a Husband,Comedy,50 min,N/A,N/A,N/A,1919
Three Jumps Ahead,Western,50 min,N/A,N/A,4.4,1923
"Honey, I Shrunk the Kids","Adventure, Comedy, Family",93 min,"$130,724,172",63,6.4,1989
Holiday Affair,"Comedy, Drama, Family",87 min,N/A,63,7.1,1949
Cattle Queen of Montana,"Drama, Western",88 min,N/A,N/A,5.6,1954
War Drums,Western,75 min,N/A,N/A,5.6,1957
Hammerhead,"Action, Adventure, Comedy",92 min,N/A,N/A,3.1,2005
Out of the Silent North,Drama,50 min,N/A,N/A,N/A,1922
Pelle the Conqueror,Drama,157 min,"$2,063,688",N/A,7.8,1987
The Maverick Queen,Western,92 min,N/A,N/A,5.9,1956
Gunmen of Abilene,"Drama, Western",60 min,N/A,N/A,6.4,1950
Tarawa Beachhead,"Drama, War",77 min,N/A,N/A,5.8,1958
The Three Stooges Go Around the World in a Daze,"Comedy, Family",94 min,"$2,180,000",N/A,6.2,1963
The Eye,"Horror, Mystery",98 min,"$31,418,697",36,5.4,2008
College Humor,"Action, Comedy, Music",80 min,N/A,N/A,5.9,1933
Alien vs. Predator,"Action, Adventure, Horror",101 min,"$80,282,231",29,5.7,2004
Cyclone Fury,"Drama, Music, Western",53 min,N/A,N/A,6.2,1951
Everything's Ducky,"Comedy, Fantasy",80 min,N/A,N/A,4.4,1961
Next Time We Love,"Drama, Romance",87 min,N/A,N/A,6.4,1936
The Dangerous Dub,Western,N/A,N/A,N/A,N/A,1926
The Honor of the District Attorney,Short,N/A,N/A,N/A,N/A,1915
The Women of Pitcairn Island,"Adventure, Drama",72 min,N/A,N/A,6.2,1956
The Tall Stranger,Western,81 min,N/A,N/A,6.4,1957
The Alpha Caper,"Crime, Drama, Thriller",75 min,N/A,N/A,6.6,1973
Rampage,"Action, Adventure, Sci-Fi",107 min,"$101,028,233",45,6.1,2018
Pointed Heels,"Comedy, Musical",61 min,N/A,N/A,5.7,1929
The Judge Steps Out,"Comedy, Drama",91 min,N/A,N/A,6.8,1948
Berkeley Square,"Drama, History, Romance",50 min,N/A,N/A,7.9,1998
Flicka,"Adventure, Drama, Family",95 min,"$21,000,147",57,6.0,2006
Love in the Dark,"Short, Romance",N/A,N/A,N/A,N/A,1913
Frank,"Comedy, Drama, Music",95 min,"$645,186",75,6.9,2014
Stateside,"Drama, Music, Romance",97 min,"$174,318",35,5.8,2004
Stella Dallas,"Drama, Romance",106 min,"$2,000,000",N/A,7.4,1937
The Soul's Cycle,Drama,N/A,N/A,N/A,N/A,1916
Up and at 'Em,Western,N/A,N/A,N/A,N/A,1924
"Blue Skies, Green Waters, Red Earth","Adventure, Drama, Romance",137 min,N/A,N/A,7.6,2013
Alexander the Great,"Biography, Drama, History",141 min,N/A,N/A,5.8,1956
The Enchanted Cottage,"Drama, Fantasy, Romance",91 min,N/A,N/A,7.5,1945
Coney Island at Night,"Documentary, Short",4 min,N/A,N/A,6.1,1905
The Great Mr. Nobody,"Comedy, Drama, Romance",71 min,N/A,N/A,5.8,1941
Knight Rider 2010,"Action, Sci-Fi, Thriller",91 min,N/A,N/A,2.9,1994
Love Is Strange,"Drama, Romance",94 min,"$2,262,223",82,6.7,2014
This Sporting Age,"Action, Drama, Sport",67 min,N/A,N/A,N/A,1932
Walk Don't Run,"Comedy, Romance",114 min,"$9,810,000",N/A,6.6,1966
Revenge of the Zombies,"Drama, Horror, Thriller",61 min,N/A,N/A,4.7,1943
Mark of the Vampire,"Horror, Mystery",60 min,N/A,N/A,6.2,1935
The Chipmunk Adventure,"Animation, Adventure, Comedy",77 min,"$6,804,312",N/A,7.2,1987
The Beast Within,Horror,98 min,"$7,742,572",42,5.6,1982
Felix the Ghost Breaker,"Animation, Short, Comedy",7 min,N/A,N/A,6.0,1923
A Drove of Wild Welsh Mountain Ponies,"Documentary, Short",N/A,N/A,N/A,N/A,1903
Hoosiers,"Drama, Sport",114 min,"$28,607,524",76,7.4,1986
The Woman in the House Across the Street from the Girl in the Window,"Comedy, Crime, Drama",N/A,N/A,N/A,6.4,2022
Song of the South,"Animation, Comedy, Family",94 min,"$37,459,346",54,6.9,1946
My Best Friend Is a Vampire,"Comedy, Horror, Romance",89 min,"$174,380",N/A,6.0,1987
Man of the Century,"Comedy, Romance",77 min,"$34,857",44,7.0,1999
Naked Came the Stranger,"Adult, Comedy, Drama",83 min,"$138,275",N/A,6.2,1975
Resident Evil: Extinction,"Action, Horror, Sci-Fi",94 min,"$50,648,679",41,6.2,2007
Stagecoach,"Adventure, Drama, Western",96 min,N/A,93,7.8,1939
CBGB,"Crime, Drama, Music",102 min,"$40,400",30,6.6,2013
I've Got Your Number,"Action, Comedy, Mystery",69 min,N/A,N/A,6.3,1934
Peter Rabbit 2: The Runaway,"Animation, Adventure, Comedy",93 min,"$40,501,717",43,6.2,2021
The Stratton Story,"Biography, Drama, Romance",106 min,N/A,N/A,7.1,1949
Ham and Eggs at the Front,"Comedy, War",60 min,N/A,N/A,5.7,1927
The Jazz Girl,Drama,N/A,N/A,N/A,N/A,1926
Evel Knievel,"Action, Biography, Drama",88 min,"$36,000",N/A,5.2,1971
Public Pigeon No. 1,Comedy,79 min,N/A,N/A,6.6,1957
Bloodsport III,"Action, Sport",91 min,N/A,N/A,4.2,1996
The Walking Hills,"Adventure, Thriller, Western",78 min,N/A,N/A,6.5,1949
Guadalcanal Diary,"Drama, War",93 min,N/A,N/A,6.6,1943
Into the Arms of Strangers: Stories of the Kindertransport,"Documentary, History, War",122 min,"$374,555",79,7.7,2000
The Last Edition,"Action, Crime, Drama",70 min,N/A,N/A,6.2,1925
Charlie Chan at the Wax Museum,Mystery,63 min,N/A,N/A,7.1,1940
The Return of Dr. Fu Manchu,"Adventure, Crime, Mystery",73 min,N/A,N/A,5.8,1930
Shipwrecked,"Adventure, Family",92 min,"$15,104,156",N/A,6.5,1990
Dead Man Walking,"Crime, Drama",122 min,"$39,363,635",80,7.5,1995
Pathology,"Crime, Horror, Thriller",95 min,"$109,846",55,5.9,2008
Knock Knock,"Crime, Thriller",99 min,"$36,336",53,4.9,2015
Hit the Road,"Comedy, Drama, Music",93 min,"$151,018",90,7.3,2021
Oh! What a Nurse!,Comedy,70 min,N/A,N/A,N/A,1926
Donovan's Brain,"Sci-Fi, Horror",84 min,N/A,N/A,5.9,1953
The Jazz Singer,"Drama, Music, Musical",88 min,N/A,66,6.4,1927
As Husbands Go,"Comedy, Romance",78 min,N/A,N/A,N/A,1934
Paradise Isle,"Adventure, Drama, Music",73 min,N/A,N/A,5.2,1937
The Thing Called Love,"Comedy, Drama, Music",116 min,"$1,029,721",46,6.4,1993
The Outfit,"Crime, Drama, Mystery",105 min,"$3,344,040",69,7.2,2022
In Her Shoes,"Comedy, Drama, Romance",130 min,"$32,880,591",60,6.5,2005
Zig Zag,Drama,101 min,"$2,418",58,5.9,2002
The Town That Dreaded Sundown,"Horror, Mystery, Thriller",86 min,N/A,47,5.6,2014
A Bronx Tale,"Crime, Drama",121 min,"$17,287,898",80,7.8,1993
The Boiling Point,Western,70 min,N/A,N/A,6.7,1932
Lie to Me,"Crime, Drama, Mystery",43 min,N/A,N/A,8.0,2009–2011
Elvira: Mistress of the Dark,"Comedy, Horror",96 min,"$5,596,267",43,6.6,1988
"Welcome, or No Trespassing","Comedy, Family",74 min,N/A,N/A,7.9,1964
Mission: Impossible - Ghost Protocol,"Action, Adventure, Thriller",132 min,"$209,397,903",73,7.4,2011
Three Girls Lost,Drama,80 min,N/A,N/A,5.7,1931
Summer Heat,Drama,80 min,"$350,481",N/A,4.8,1987
Petulia,"Drama, Romance",105 min,N/A,N/A,6.9,1968
Best Laid Plans,"Crime, Drama, Thriller",92 min,"$27,816",40,6.1,1999
The Bright Shawl,"Adventure, Drama",80 min,N/A,N/A,6.4,1923
Colt Comrades,"Drama, Western",67 min,N/A,N/A,6.4,1943
The Curtain Falls,Drama,68 min,N/A,N/A,6.0,1934
The Great Power,Drama,90 min,N/A,N/A,N/A,1929
The Gay Caballero,Western,58 min,N/A,N/A,6.0,1940
The Bag Man,"Action, Crime, Drama",108 min,"$56,574",28,5.2,2014
Rio Lobo,"Drama, War, Western",114 min,N/A,55,6.7,1970
Pump Up the Volume,"Comedy, Drama, Music",102 min,"$11,541,758",77,7.2,1990
Cry Uncle,"Comedy, Crime, Mystery",87 min,"$1,076,148",N/A,4.9,1971
Ticket to Paradise,"Comedy, Romance",104 min,"$68,275,985",50,6.1,2022
Bram Stoker's Dracula,"Drama, Fantasy, Horror",128 min,"$82,522,790",57,7.4,1992
The Flame of Youth,"Drama, Adventure",50 min,N/A,N/A,7.0,1917
Twilight on the Trail,Western,57 min,N/A,N/A,6.3,1941
The Black Gate,"Adventure, Fantasy, Horror",78 min,N/A,N/A,7.2,2017
The Lady from Nowhere,"Crime, Drama",65 min,N/A,N/A,7.3,1931
Elephant Stampede,"Action, Adventure, Crime",71 min,N/A,N/A,5.3,1951
Fantastic Mr. Fox,"Animation, Adventure, Comedy",87 min,"$21,002,919",83,7.9,2009
The Cobbler,"Comedy, Drama, Fantasy",99 min,N/A,23,5.8,2014
Wild Card,"Action, Crime, Drama",92 min,N/A,40,5.6,2015
The Little Giant,"Comedy, Crime, Romance",76 min,N/A,N/A,7.0,1933
The Outriders,Western,93 min,N/A,N/A,6.1,1950
I Don't Hate Las Vegas Anymore,Documentary,70 min,N/A,N/A,6.6,1994
Safe Men,"Comedy, Crime",88 min,"$45,724",N/A,5.8,1998
You're My Everything,"Comedy, Musical",94 min,N/A,N/A,6.0,1949
Twenty Million Sweethearts,"Comedy, Musical, Mystery",89 min,N/A,N/A,6.4,1934
A Vigilante,"Crime, Drama, Mystery",91 min,N/A,68,5.7,2018
Born to Battle,Western,63 min,N/A,N/A,5.4,1935
Heavy Metal,"Animation, Adventure, Fantasy",86 min,"$546,545",51,6.6,1981
Doomsday Gun,"Action, Drama, History",120 min,N/A,N/A,6.1,1994
Secret Beyond the Door...,"Drama, Film-Noir, Mystery",99 min,N/A,N/A,6.6,1947
The Kentucky Colonel,Drama,60 min,N/A,N/A,N/A,1920
The Great Muppet Caper,"Adventure, Comedy, Crime",97 min,"$31,206,251",70,7.1,1981
Thinner,"Fantasy, Horror",93 min,"$15,315,484",33,5.8,1996
Me and My Pal,"Short, Comedy, Family",20 min,N/A,N/A,7.2,1933
The Horn Blows at Midnight,"Comedy, Fantasy, Music",78 min,N/A,60,6.6,1945
King of the Rodeo,Western,60 min,N/A,N/A,6.8,1928
Cattle Queen of Montana,"Drama, Western",88 min,N/A,N/A,5.6,1954
Pet Shop of Horrors,"Animation, Fantasy, Horror",N/A,N/A,N/A,7.3,1999
Ghosts of Girlfriends Past,"Comedy, Fantasy, Romance",100 min,"$55,250,026",34,5.8,2009
The Big Year,Comedy,100 min,"$7,204,138",53,6.2,2011
Cross Channel,Drama,61 min,N/A,N/A,5.0,1955
Broadway to Hollywood,"History, Musical",85 min,N/A,N/A,5.7,1933
Madame Spy,"Action, Adventure, Crime",63 min,N/A,N/A,5.9,1942
Kingsman: The Golden Circle,"Action, Adventure, Comedy",141 min,"$100,234,838",44,6.7,2017
Tougher Than Leather,"Crime, Drama, Music",87 min,"$3,582,760",N/A,4.8,1988
Let's Get Married,"Comedy, Family, Romance",152 min,N/A,N/A,4.8,2023
Do and Dare,Western,N/A,N/A,N/A,N/A,1922
Death of a Centerfold: The Dorothy Stratten Story,"Biography, Drama",100 min,N/A,N/A,5.6,1981
Innocents of Paris,"Musical, Romance",78 min,N/A,N/A,7.6,1929
I Could Go on Singing,"Drama, Music",100 min,N/A,N/A,6.9,1963
It Happened in Broad Daylight,"Crime, Drama, Thriller",97 min,N/A,N/A,7.8,1958
Stranger Than Fiction,"Comedy, Drama, Fantasy",113 min,"$40,660,952",67,7.5,2006
"Suddenly, Last Summer","Drama, Mystery, Thriller",114 min,N/A,54,7.5,1959
Down in the Delta,Drama,112 min,"$5,672,903",73,6.9,1998
Our Song,Drama,95 min,"$254,199",77,6.8,2000
A Guy Thing,"Comedy, Romance",101 min,"$15,545,431",27,5.6,2003
The Bostonians,"Drama, Romance",122 min,"$1,009,700",59,6.2,1984
Little Women,"Drama, Romance",135 min,"$108,101,214",91,7.8,2019
Molly's Game,"Biography, Crime, Drama",140 min,"$28,780,744",71,7.4,2017
Medium Cool,Drama,111 min,N/A,87,7.2,1969
Silk Stockings,"Comedy, Musical, Romance",117 min,N/A,N/A,6.8,1957
"The Vengeance of Durand; or, the Two Portraits","Short, Drama, Romance",N/A,N/A,N/A,5.9,1913
Isn't It Romantic,"Comedy, Fantasy, Musical",89 min,"$48,791,187",60,5.9,2019
The Marriage Whirl,Drama,80 min,N/A,N/A,N/A,1925
The Butcher Boy,"Comedy, Drama",110 min,"$1,995,911",N/A,7.1,1997
Cold Creek Manor,"Drama, Mystery, Thriller",118 min,"$21,386,011",37,5.0,2003
The Purple Rose of Cairo,"Comedy, Fantasy, Romance",82 min,"$10,631,333",75,7.7,1985
Double Whoopee,"Comedy, Short",20 min,N/A,N/A,6.9,1929
It's Great to Be Alive,"Comedy, Music, Musical",69 min,N/A,N/A,5.5,1933
Double Alibi,"Adventure, Crime, Mystery",60 min,N/A,N/A,6.1,1940
The Sadist,"Horror, Thriller",92 min,N/A,N/A,6.6,1963
Cabin Fever 2: Spring Fever,Horror,86 min,N/A,N/A,4.3,2009
Hello Trouble,Western,67 min,N/A,N/A,6.7,1932
House of Cards,Drama,51 min,N/A,N/A,8.6,2013–2018
Racing Luck,"Action, Adventure, Crime",56 min,N/A,N/A,6.0,1935
The Brothers Grimm,"Action, Adventure, Comedy",118 min,"$37,916,267",51,5.9,2005
The Spikes Gang,"Drama, Western",96 min,N/A,N/A,6.3,1974
Always in My Heart,Drama,92 min,N/A,N/A,6.2,1942
Fast Company,"Drama, Sport",91 min,N/A,63,5.4,1979
Straight Shootin',Western,50 min,N/A,N/A,4.8,1927
Smartest Girl in Town,"Comedy, Romance",58 min,N/A,N/A,6.4,1936
Torture Garden,"Fantasy, Horror",93 min,N/A,N/A,6.1,1967
Night of the Day of the Dawn of the Son of the Bride of the Return of the Terror,"Comedy, Horror",96 min,N/A,N/A,4.7,1991
Nick Knight,"Crime, Fantasy, Horror",92 min,N/A,N/A,6.1,1989
Children of the Corn III: Urban Harvest,"Horror, Thriller",92 min,N/A,N/A,4.3,1995
The Beggar Child,"Short, Drama",N/A,N/A,N/A,N/A,1914
Black Christmas,"Horror, Mystery, Thriller",98 min,N/A,65,7.1,1974
The Sinking of the 'Lusitania',"Animation, Short, War",12 min,N/A,N/A,6.8,1918
Molly,"Comedy, Drama, Romance",102 min,"$17,650",21,5.7,1999
Loving Annabelle,"Drama, Romance",77 min,N/A,N/A,6.3,2006
David Foster: Off the Record,Documentary,106 min,N/A,N/A,7.0,2019
The James Brothers of Missouri,Western,167 min,N/A,N/A,6.5,1949
Far North,"Crime, Drama, Romance",89 min,N/A,N/A,6.1,2007
National Velvet,"Drama, Family, Sport",123 min,N/A,83,7.3,1944
Star Wars: Episode III - Revenge of the Sith,"Action, Adventure, Fantasy",140 min,"$380,270,577",68,7.6,2005
His Woman,"Drama, Romance",76 min,N/A,N/A,5.6,1931
365 Nights in Hollywood,"Comedy, Music, Romance",77 min,N/A,N/A,5.7,1934
Hunter Killer,"Action, Thriller",121 min,"$15,767,460",43,6.6,2018
Call of the Rockies,Western,56 min,N/A,N/A,7.3,1944
Trader Tom of the China Seas,"Action, Adventure, War",167 min,N/A,N/A,5.6,1954
The Tarnished Angels,"Action, Adventure, Drama",91 min,N/A,N/A,7.1,1957
Ma and Pa Kettle at the Fair,"Adventure, Comedy, Romance",78 min,N/A,N/A,6.7,1952
Behind Locked Doors,"Crime, Drama, Film-Noir",62 min,N/A,N/A,6.5,1948
Texas Lawmen,Western,54 min,N/A,N/A,6.2,1951
Scenic Route,"Drama, Horror, Thriller",82 min,"$3,434",34,6.4,2013
Steady Company,"Action, Drama, Sport",65 min,N/A,N/A,6.7,1932
Les ténèbres révélées de Silent Hill révélation 3D,Documentary,63 min,N/A,N/A,N/A,2013
The Pad (and How to Use It),Comedy,86 min,N/A,N/A,6.1,1966
Star Night at the Cocoanut Grove,"Short, Music",20 min,N/A,N/A,5.4,1934
Rackety Rax,"Action, Comedy, Crime",70 min,N/A,N/A,5.1,1932
The Last Flight of Noah's Ark,"Adventure, Family",97 min,"$11,000,000",N/A,5.7,1980
Love Among Thieves,"Adventure, Comedy, Crime",100 min,N/A,N/A,6.0,1987
Eyes in the Night,"Crime, Mystery",80 min,N/A,N/A,6.7,1942
Flareup,"Crime, Thriller",100 min,N/A,N/A,5.0,1969
The Purple Rose of Cairo,"Comedy, Fantasy, Romance",82 min,"$10,631,333",75,7.7,1985
University Heights,Drama,95 min,N/A,N/A,6.3,2004
The Nevada Buckaroo,Western,59 min,N/A,N/A,6.1,1931
Walk the Line,"Biography, Drama, Music",136 min,"$119,519,402",72,7.8,2005
Slaves in Bondage,"Crime, Drama",70 min,N/A,N/A,4.4,1937
Borrowed Life Stolen Love,"Drama, Romance",95 min,N/A,N/A,6.3,1997
Corvette Summer,"Adventure, Comedy",105 min,"$15,514,367",53,5.7,1978
Russian Roulette,"Crime, Drama, Thriller",93 min,N/A,N/A,5.6,1975
It Shouldn't Happen to a Dog,"Action, Adventure, Comedy",70 min,"$800,000",N/A,6.5,1946
The Missing Juror,"Crime, Film-Noir, Mystery",66 min,N/A,N/A,6.2,1944
Four Mothers,"Drama, Romance",86 min,N/A,N/A,6.2,1941
Waist Deep,"Action, Crime, Drama",97 min,"$21,344,312",37,5.8,2006
Impossible Catherine,"Comedy, Drama",50 min,N/A,N/A,N/A,1919
Spite Marriage,Comedy,76 min,N/A,N/A,6.9,1929
The Fog,"Horror, Thriller",89 min,"$21,448,782",55,6.8,1980
Holy Ghost People,"Drama, Thriller",88 min,N/A,N/A,5.0,2013
Havana Widows,Comedy,62 min,N/A,N/A,6.3,1933
She Learned About Sailors,"Comedy, Music, Romance",78 min,N/A,N/A,5.6,1934
Womanhandled,"Adventure, Comedy, Romance",70 min,N/A,N/A,6.3,1925
The Salzburg Connection,"Crime, Drama, Mystery",93 min,N/A,N/A,5.3,1972
The Pell Street Mystery,Mystery,N/A,N/A,N/A,N/A,1924
Irish Jam,Comedy,94 min,N/A,N/A,5.2,2006
Swing Vote,"Comedy, Drama",120 min,"$16,289,867",47,6.1,2008
The Story of Molly X,"Crime, Drama, Film-Noir",82 min,N/A,N/A,6.6,1949
Cowboy Cavalier,"Drama, Music, Western",57 min,N/A,N/A,5.4,1948
The Lady Pays Off,"Comedy, Drama, Romance",80 min,N/A,N/A,6.0,1951
Mikey and Nicky,"Crime, Drama",106 min,N/A,81,7.4,1976
The Sandpit Generals,"Action, Drama, Romance",102 min,N/A,N/A,6.8,1971
The Garage,"Comedy, Drama",96 min,N/A,N/A,8.0,1980
The Zoot Cat,"Animation, Short, Comedy",7 min,N/A,N/A,7.4,1944
OMG: Oh My God!,"Comedy, Drama, Fantasy",125 min,N/A,N/A,8.1,2012
Song of the Caballero,Western,73 min,N/A,N/A,N/A,1930
The Code of the Scarlet,Western,57 min,N/A,N/A,3.4,1928
Children of Dreams,Musical,78 min,N/A,N/A,N/A,1931
The Prize Fighter,Comedy,99 min,N/A,N/A,5.6,1979
Picture Perfect,"Comedy, Drama, Romance",101 min,"$31,407,873",44,5.5,1997
Her Circus Man,"Comedy, Short",N/A,N/A,N/A,N/A,1921
Crowned and Dangerous,"Comedy, Crime, Mystery",96 min,N/A,N/A,4.7,1997
The Fighting Legion,Western,74 min,N/A,N/A,5.6,1930
Between Two Worlds,"Mystery, Drama, Fantasy",112 min,N/A,N/A,7.1,1944
The Losers,"Action, Adventure, Comedy",97 min,"$23,591,432",44,6.2,2010
Swing Your Partner,"Animation, Short",7 min,N/A,N/A,5.8,1943
Dracula Untold,"Action, Drama, Fantasy",92 min,"$56,280,355",40,6.2,2014
Santa Fe Trail,"Drama, War, Western",110 min,N/A,N/A,6.2,1940
Rugrats Go Wild,"Animation, Adventure, Comedy",80 min,"$39,402,572",38,5.6,2003
The Other Side of the Door,"Horror, Thriller",96 min,"$3,000,342",41,5.3,2016
Bob Roberts,"Comedy, Drama",102 min,"$4,479,470",70,7.0,1992
The Hunters,"Crime, Thriller",113 min,N/A,N/A,7.0,1996
Joe Dirt,"Adventure, Comedy, Drama",91 min,"$27,087,695",20,6.0,2001
Rainbow Valley,"Drama, Western",52 min,N/A,N/A,5.3,1935
Radioactive Dreams,"Action, Adventure, Comedy",98 min,"$220,038",N/A,5.5,1984
Range Defenders,"Drama, Western",56 min,N/A,N/A,5.7,1937
Take Care of My Little Girl,Drama,93 min,N/A,N/A,6.4,1951
Return of the Texan,"Drama, Romance, Western",88 min,N/A,N/A,6.8,1952
Old Dogs,"Comedy, Family",88 min,"$49,492,060",19,5.3,2009
Adult Beginners,"Comedy, Drama",92 min,"$108,808",57,5.6,2014
California Frontier,"Action, Music, Romance",55 min,N/A,N/A,6.2,1938
Slaughter of the Innocents,"Crime, Horror, Mystery",104 min,N/A,N/A,5.1,1993
Digging to China,Drama,98 min,"$43,961",N/A,6.7,1997
104 Teaser - DEATH WISH IV: THE CRACKDOWN (1987) + DEATH WISH V: THE FACE OF DEATH (1994),N/A,N/A,N/A,N/A,N/A,1987
Letters to God,Drama,110 min,"$2,848,578",31,6.2,2010
Chained for Life,Drama,91 min,"$17,431",79,6.5,2018
Looker,"Drama, Sci-Fi, Thriller",93 min,N/A,20,6.1,1981
Anybody's Woman,"Drama, Romance",80 min,N/A,N/A,6.4,1930
The Naked Kiss,"Crime, Drama",90 min,N/A,83,7.2,1964
Luke's Trolley Troubles,"Comedy, Short",10 min,N/A,N/A,N/A,1917
Words and Music,"Biography, Comedy, Musical",121 min,N/A,N/A,6.4,1948
Ever After: A Cinderella Story,"Drama, Romance",121 min,"$65,705,771",66,7.1,1998
Daredevil's Reward,Western,50 min,N/A,N/A,N/A,1928
Treasure of Monte Cristo,"Crime, Drama, Film-Noir",76 min,N/A,N/A,6.0,1949
